ProviderName,LicenseType,ProviderType,ProviderTypeDescription,QualityRating,QualityRatingDescription,ProviderCapacity,PhysicalCity,PhysicalZipCode,CountyNumber,CountyName,PhoneNumber,Hours of operation,Gender,Age
Edyth  Byrd,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MACON,39341,52,NOXUBEE,601-626-8500,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Johnston,LICENSED,2,Slot Contractor,0,Not Rated,93,COLUMBIA,39429,46,MARION,601-626-8501,9AM-5PM,"Female, Male",All ages
Ehikede Anetor,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-626-9340,9AM-5PM,"Female, Male",All ages
Elaine  Robinson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39301,38,LAUDERDALE,601-629-2552,9AM-5PM,"Female, Male",All ages
Elaine Powell,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-629-6370,9AM-5PM,"Female, Male",All ages
Elanie Janak,UNLICENSED,6,Relative In-Home,0,Not Rated,5,UNION,39365,51,NEWTON,601-630-0353,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Merkel,LICENSED,2,Slot Contractor,0,Not Rated,93,BRANDON,39042,61,RANKIN,601-630-3320,9AM-5PM,"Female, Male",All ages
ELBA C. MARTINEZ,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WAYNESBORO,39367,77,WAYNE,601-631-1068,9AM-5PM,"Female, Male",All ages
Elena Suarez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-631-3969,9AM-5PM,"Female, Male",All ages
Elena Vazquez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-631-4085,9AM-5PM,"Female, Male",All ages
Eli Loera,UNLICENSED,6,Relative In-Home,0,Not Rated,5,WEST POINT,39773,13,CLAY,601-632-1253,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Ortiz,LICENSED,2,Slot Contractor,0,Not Rated,31,TUPELO,38804,41,LEE,601-632-1340,9AM-5PM,"Female, Male",All ages
Elia Imelda Medina,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,INDIANOLA,38751,67,SUNFLOWER,601-632-1536,9AM-5PM,"Female, Male",All ages
Elida  Alas,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39402,37,LAMAR,601-632-4194,9AM-5PM,"Female, Male",All ages
Elida Gonzalez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-632-4509,9AM-5PM,"Female, Male",All ages
Elisa Del Carmen Belcher,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MCCOMB,39648,57,PIKE,601-632-9413,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Reagan,LICENSED,2,Slot Contractor,0,Not Rated,50,VICKSBURG,39183,75,WARREN,601-633-0094,9AM-5PM,"Female, Male",All ages
Elisa Espino Ramon,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,OLIVE BRANCH,38654,17,DESOTO,601-634-0402,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Thomas,LICENSED,2,Slot Contractor,0,Not Rated,88,NEW ALBANY,38652,73,UNION,601-634-1070,9AM-5PM,"Female, Male",All ages
Alliance After School Care at TLCA,LICENSED,2,Slot Contractor,0,Not Rated,35,JACKSON,39212,25,HINDS,601-634-8068,9AM-5PM,"Female, Male",All ages
Elisa Perez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SUNFLOWER,38778,67,SUNFLOWER,601-634-8086,9AM-5PM,"Female, Male",All ages
Elisa Perez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,CARTHAGE,39051,40,LEAKE,601-634-8316,9AM-5PM,"Female, Male",All ages
Elissa Curry,UNLICENSED,6,Relative In-Home,0,Not Rated,5,WALNUT GROVE,39189,40,LEAKE,601-634-8870,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Ward,LICENSED,2,Slot Contractor,0,Not Rated,50,CHARLESTON,38921,68,TALLAHATCHIE,601-634-9339,9AM-5PM,"Female, Male",All ages
Elivra Valdez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-635-2172,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Woodson,LICENSED,2,Slot Contractor,0,Not Rated,21,INDIANOLA,38751,67,SUNFLOWER,601-635-2805,9AM-5PM,"Female, Male",All ages
Elizabeth  Brown,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,601-635-3285,9AM-5PM,"Female, Male",All ages
Elizabeth  Sparks,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MACON,39341,52,NOXUBEE,601-635-3338,9AM-5PM,"Female, Male",All ages
Alliance After School Care at Taylor,LICENSED,2,Slot Contractor,0,Not Rated,56,VERONA,38879,41,LEE,601-635-3500,9AM-5PM,"Female, Male",All ages
Elizabeth  Thorns,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COLLINS,39428,16,COVINGTON,601-635-3644,9AM-5PM,"Female, Male",All ages
Allison McCann,LICENSED,3,Group Home,0,Not Rated,49,TUPELO,38801,41,LEE,601-635-4138,9AM-5PM,"Female, Male",All ages
Elizabeth Ann Edge,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,TUPELO,38801,41,LEE,601-635-5412,9AM-5PM,"Female, Male",All ages
Elizabeth Ann Smith,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-635-5417,9AM-5PM,"Female, Male",All ages
Elizabeth Brogan,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-635-5603,9AM-5PM,"Female, Male",All ages
Elizabeth Bullock,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-636-0036,9AM-5PM,"Female, Male",All ages
Elizabeth Dawn Juline,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SILVER CREEK,39663,39,LAWRENCE,601-636-0036,9AM-5PM,"Female, Male",All ages
Elizabeth Etheridge,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-636-0704,9AM-5PM,"Female, Male",All ages
Allison Parham,LICENSED,3,Group Home,0,Not Rated,25,GREENVILLE,38703,76,WASHINGTON,601-636-1156,9AM-5PM,"Female, Male",All ages
Allisons Clubhouse,LICENSED,4,Center,0,Not Rated,38,COLUMBIA,39429,46,MARION,601-636-1561,9AM-5PM,"Female, Male",All ages
Elizabeth Harmon,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-636-2362,9AM-5PM,"Female, Male",All ages
Allstars Learning Center,LICENSED,4,Center,0,Not Rated,40,GREENVILLE,38703,76,WASHINGTON,601-636-2444,9AM-5PM,"Female, Male",All ages
Allstars Learning Center Inc,LICENSED,4,Center,1,Low,105,VICKSBURG,39180,75,WARREN,601-636-3616,9AM-5PM,"Female, Male",All ages
Elizabeth Hutchinson,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COLUMBIA,39429,46,MARION,601-636-3712,9AM-5PM,"Female, Male",All ages
Elizabeth Janak,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,WAYNESBORO,39367,77,WAYNE,601-636-3858,9AM-5PM,"Female, Male",All ages
Elizabeth Jeanette Burton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MONTICELLO,39654,39,LAWRENCE,601-636-5251,9AM-5PM,"Female, Male",All ages
Elizabeth Klebart,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MAGNOLIA,39652,57,PIKE,601-636-6790,9AM-5PM,"Female, Male",All ages
Elizabeth Koch,UNLICENSED,6,Relative In-Home,0,Not Rated,5,WAYNESBORO,39367,77,WAYNE,601-636-7014,9AM-5PM,"Female, Male",All ages
Alma Garcia,LICENSED,3,Group Home,3,Good,60,SENATOBIA,38668,69,TATE,601-636-7554,9AM-5PM,"Female, Male",All ages
Alma Hernandez,LICENSED,3,Group Home,0,Not Rated,42,WAYNESBORO,39367,77,WAYNE,601-636-7554,9AM-5PM,"Female, Male",All ages
Elizabeth Martinez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MACON,39341,52,NOXUBEE,601-636-7687,9AM-5PM,"Female, Male",All ages
Alma Nora Elizondo,LICENSED,3,Group Home,0,Not Rated,60,GREENVILLE,38703,76,WASHINGTON,601-636-7687,9AM-5PM,"Female, Male",All ages
Elizabeth McCarty,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,10,SILVER CREEK,39663,39,LAWRENCE,601-636-9459,9AM-5PM,"Female, Male",All ages
Elizabeth Sandoval,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,601-637-0031,9AM-5PM,"Female, Male",All ages
Alma Rosa Garza,LICENSED,3,Group Home,0,Not Rated,92,MCCOMB,39648,57,PIKE,601-638-0023,9AM-5PM,"Female, Male",All ages
Elizabeth Taylor,UNLICENSED,6,Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-638-0519,9AM-5PM,"Female, Male",All ages
Elizabeth Valdez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-638-0983,9AM-5PM,"Female, Male",All ages
Alma Smith,LICENSED,3,Group Home,1,Low,30,POPLARVILLE,39470,55,PEARL RIVER,601-638-1071,9AM-5PM,"Female, Male",All ages
Elizabeth Weathers,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-638-1558,9AM-5PM,"Female, Male",All ages
Ella Ball,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MCCOMB,39648,57,PIKE,601-638-2777,9AM-5PM,"Female, Male",All ages
Alma's Day Care,LICENSED,4,Center,0,Not Rated,35,WAYNESBORO,39367,77,WAYNE,601-638-2888,9AM-5PM,"Female, Male",All ages
Alma's Daycare,LICENSED,4,Center,3,Good,66,PONTOTOC,38863,58,PONTOTOC,601-638-3237,9AM-5PM,"Female, Male",All ages
Almitas Daycare,LICENSED,4,Center,2,Average,90,COLDWATER,38618,69,TATE,601-638-3583,9AM-5PM,"Female, Male",All ages
Ella Edwards,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-638-4999,9AM-5PM,"Female, Male",All ages
Ella Irwin,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-638-5006,9AM-5PM,"Female, Male",All ages
Almost Angels,LICENSED,4,Center,4,Very Good,30,DECATUR,39327,51,NEWTON,601-638-5775,9AM-5PM,"Female, Male",All ages
Almost Grandmas Childcare Center,LICENSED,4,Center,4,Very Good,100,PONTOTOC,38863,58,PONTOTOC,601-638-8109,9AM-5PM,"Female, Male",All ages
Almost Home,LICENSED,4,Center,0,Not Rated,30,INDIANOLA,38751,67,SUNFLOWER,601-638-8109,9AM-5PM,"Female, Male",All ages
Ella Isuhuaylas,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,STARKVILLE,39759,53,OKTIBBEHA,601-638-8120,9AM-5PM,"Female, Male",All ages
Ella Stykes-Eddington,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-638-8545,9AM-5PM,"Female, Male",All ages
Ellen Morgan,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COLDWATER,38618,69,TATE,601-638-8645,9AM-5PM,"Female, Male",All ages
Ellouise Jefferson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MAGNOLIA,39652,57,PIKE,601-638-9080,9AM-5PM,"Female, Male",All ages
Elma Jackson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENWOOD,38930,42,LEFLORE,601-638-9090,9AM-5PM,"Female, Male",All ages
Almost Home,LICENSED,4,Center,0,Not Rated,93,VERONA,38879,41,LEE,601-639-4166,9AM-5PM,"Female, Male",All ages
Elmerene   Sanders,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MAGNOLIA,39652,57,PIKE,601-643-8810,9AM-5PM,"Female, Male",All ages
Eloise  Carrillo,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LENA,39094,62,SCOTT,601-643-8821,9AM-5PM,"Female, Male",All ages
Elonda  Smith,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MONTICELLO,39654,39,LAWRENCE,601-644-3181,9AM-5PM,"Female, Male",All ages
Elsa George,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MORTON,39117,62,SCOTT,601-645-5325,9AM-5PM,"Female, Male",All ages
Almost Home Childcare,LICENSED,4,Center,0,Not Rated,53,VICKSBURG,39180,75,WARREN,601-645-9080,9AM-5PM,"Female, Male",All ages
Almost Mom,LICENSED,4,Center,0,Not Rated,43,TUPELO,38801,41,LEE,601-646-2711,9AM-5PM,"Female, Male",All ages
Elsa Maria Ibarra,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-647-0187,9AM-5PM,"Female, Male",All ages
Elva Castillo,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COLUMBUS,39701,44,LOWNDES,601-647-0187,9AM-5PM,"Female, Male",All ages
Alondra Hatter,LICENSED,4,Center,3,Good,190,BROOKHAVEN,39601,43,LINCOLN,601-648-2828,9AM-5PM,"Female, Male",All ages
Alpha Academy,LICENSED,4,Center,0,Not Rated,30,WATER VALLEY,38965,81,YALOBUSHA,601-649-1003,9AM-5PM,"Female, Male",All ages
Elva L Gonzalez,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-649-1299,9AM-5PM,"Female, Male",All ages
Elva Lydia Hernandez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DECATUR,39327,51,NEWTON,601-649-3330,9AM-5PM,"Female, Male",All ages
Elva M Jalomo,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,601-649-6494,9AM-5PM,"Female, Male",All ages
Alpha Academy #2,LICENSED,4,Center,1,Low,40,COLUMBIA,39429,46,MARION,601-649-7203,9AM-5PM,"Female, Male",All ages
Alpha Academy #3,LICENSED,4,Center,0,Not Rated,5,MERIDIAN,39345,51,NEWTON,601-649-7991,9AM-5PM,"Female, Male",All ages
Alpha Academy at Oakmont,LICENSED,4,Center,0,Not Rated,30,MERIDIAN,39305,38,LAUDERDALE,601-649-7991,9AM-5PM,"Female, Male",All ages
Elva Nora Ortiz,UNLICENSED,6,Relative In-Home,0,Not Rated,5,VICKSBURG,39180,75,WARREN,601-650-8455,9AM-5PM,"Female, Male",All ages
Elvera   Harrison,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SILVER CREEK,39663,39,LAWRENCE,601-650-8581,9AM-5PM,"Female, Male",All ages
Elverina  Littleton,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,COLUMBUS,39701,44,LOWNDES,601-650-9619,9AM-5PM,"Female, Male",All ages
Alpha Best at Monaco Elementary,LICENSED,4,Center,0,Not Rated,52,ECRU,38841,58,PONTOTOC,601-651-2410,9AM-5PM,"Female, Male",All ages
Elvira Hinojos,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,BROOKSVILLE,39739,52,NOXUBEE,601-651-6154,9AM-5PM,"Female, Male",All ages
Elvira Perales,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MCCOMB,39648,57,PIKE,601-653-0012,9AM-5PM,"Female, Male",All ages
Elvira Rubi Morales,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,INDIANOLA,38751,67,SUNFLOWER,601-653-0258,9AM-5PM,"Female, Male",All ages
Alpha Child Development Center,LICENSED,4,Center,0,Not Rated,36,TUPELO,38801,41,LEE,601-653-2600,9AM-5PM,"Female, Male",All ages
Alpha Child Development Center,LICENSED,4,Center,0,Not Rated,107,PEARL,39208,61,RANKIN,601-653-4793,9AM-5PM,"Female, Male",All ages
Elza  Haley,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MONTICELLO,39654,39,LAWRENCE,601-654-3125,9AM-5PM,"Female, Male",All ages
Emerance Mbuyi,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,601-654-3441,9AM-5PM,"Female, Male",All ages
Alpha Christian Academy,LICENSED,4,Center,0,Not Rated,12,TUPELO,38801,41,LEE,601-654-3635,9AM-5PM,"Female, Male",All ages
Emerita Gomez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38701,76,WASHINGTON,601-654-7763,9AM-5PM,"Female, Male",All ages
Alpha Montessori,LICENSED,4,Center,1,Low,40,COLUMBIA,39429,46,MARION,601-654-8801,9AM-5PM,"Female, Male",All ages
Emilia  Salas,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MORTON,39117,62,SCOTT,601-654-9227,9AM-5PM,"Female, Male",All ages
Emilie  Allen,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39305,38,LAUDERDALE,601-655-2234,9AM-5PM,"Female, Male",All ages
Alpha Montessori #2,LICENSED,4,Center,0,Not Rated,700,STARKVILLE,39759,53,OKTIBBEHA,601-655-8239,9AM-5PM,"Female, Male",All ages
Emilinda Pierre,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-656-0128,9AM-5PM,"Female, Male",All ages
Emily  Masiane,UNLICENSED,6,Relative In-Home,0,Not Rated,5,SILVER CREEK,39663,39,LAWRENCE,601-656-0577,9AM-5PM,"Female, Male",All ages
Emily Campbell,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,SILVER CREEK,39663,39,LAWRENCE,601-656-0997,9AM-5PM,"Female, Male",All ages
Alpha Montessori House,LICENSED,4,Center,1,Low,100,SALTILLO,38866,41,LEE,601-656-1096,9AM-5PM,"Female, Male",All ages
Emily Oliver,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,MONTICELLO,39654,39,LAWRENCE,601-656-1417,9AM-5PM,"Female, Male",All ages
Alpha Omega Academy,LICENSED,4,Center,0,Not Rated,78,PEARL,39208,61,RANKIN,601-656-1942,9AM-5PM,"Female, Male",All ages
Emily Suzanne Davis,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-656-2163,9AM-5PM,"Female, Male",All ages
Emily Wainscott,UNLICENSED,6,Relative In-Home,0,Not Rated,5,PHILADELPHIA,39350,50,NESHOBA,601-656-2785,9AM-5PM,"Female, Male",All ages
Alpha Omega Learning Academy,LICENSED,4,Center,1,Low,20,TUPELO,38804,41,LEE,601-656-3066,9AM-5PM,"Female, Male",All ages
Emma  Garcia,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LENA,39094,62,SCOTT,601-656-3151,9AM-5PM,"Female, Male",All ages
Emma  Hudson,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENWOOD,38930,42,LEFLORE,601-656-3872,9AM-5PM,"Female, Male",All ages
Emma Luna  Nunez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-656-4638,9AM-5PM,"Female, Male",All ages
Emmer  MacKillop,UNLICENSED,6,Relative In-Home,0,Not Rated,5,MCCOMB,39648,57,PIKE,601-656-5015,9AM-5PM,"Female, Male",All ages
Emmitt  Williams,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,MERIDIAN,39307,38,LAUDERDALE,601-656-5265,9AM-5PM,"Female, Male",All ages
Alpha Omega Private Preschool,LICENSED,4,Center,0,Not Rated,23,PICAYUNE,39466,55,PEARL RIVER,601-656-6226,9AM-5PM,"Female, Male",All ages
Alpha Time Child Care,LICENSED,4,Center,0,Not Rated,100,COLUMBUS,39701,44,LOWNDES,601-656-6487,9AM-5PM,"Female, Male",All ages
Alpha Time Too Inc,LICENSED,4,Center,1,Low,62,CANTON,39046,45,MADISON,601-656-6945,9AM-5PM,"Female, Male",All ages
Emory Silakowski,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,601-656-8199,9AM-5PM,"Female, Male",All ages
Alpha- Bitz Early Learning Center,LICENSED,4,Center,0,Not Rated,67,COLUMBUS,39701,44,LOWNDES,601-656-8332,9AM-5PM,"Female, Male",All ages
Enedelia  Perez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,HOLLANDALE,38748,76,WASHINGTON,601-656-8679,9AM-5PM,"Female, Male",All ages
Enedelia Moreno,UNLICENSED,6,Relative In-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-656-9984,9AM-5PM,"Female, Male",All ages
Enedilia  Duran,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,BYHALIA,38611,47,MARSHALL,601-657-4031,9AM-5PM,"Female, Male",All ages
AlphaBest @ Bonham Elementary,LICENSED,2,Slot Contractor,4,Very Good,181,ABERDEEN,39730,48,MONROE,601-657-4281,9AM-5PM,"Female, Male",All ages
AlphaBest @ Bowen Elementary,LICENSED,2,Slot Contractor,0,Not Rated,15,MARIETTA,38856,59,PRENTISS,601-657-4404,9AM-5PM,"Female, Male",All ages
Enedina L. Sandoval,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,SUMMIT,39666,43,LINCOLN,601-657-9011,9AM-5PM,"Female, Male",All ages
Enetayehu  Woldekiros,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,COLUMBUS,39702,44,LOWNDES,601-657-9292,9AM-5PM,"Female, Male",All ages
AlphaBest @ Branch Elementary,LICENSED,2,Slot Contractor,0,Not Rated,30,LELAND,38756,76,WASHINGTON,601-659-3844,9AM-5PM,"Female, Male",All ages
AlphaBest @ Carver Elementary,LICENSED,2,Slot Contractor,0,Not Rated,106,BILOXI,39532,30,JACKSON,601-659-7009,9AM-5PM,"Female, Male",All ages
Eraina  Harper,UNLICENSED,6,Relative In-Home,0,Not Rated,5,HOLLY SPRINGS,38635,47,MARSHALL,601-660-0060,9AM-5PM,"Female, Male",All ages
Erica Cobb,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,HATTIESBURG,39401,18,FORREST,601-661-0358,9AM-5PM,"Female, Male",All ages
AlphaBest @ Corinth Elementary,LICENSED,2,Slot Contractor,0,Not Rated,191,PASCAGOULA,39581,30,JACKSON,601-661-6274,9AM-5PM,"Female, Male",All ages
AlphaBest @ Crockett Elementary,LICENSED,2,Slot Contractor,0,Not Rated,40,HOLLY SPRINGS,38635,47,MARSHALL,601-661-8213,9AM-5PM,"Female, Male",All ages
Erica Hernandez,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-661-8357,9AM-5PM,"Female, Male",All ages
Erica Lopez Chavez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-662-0289,9AM-5PM,"Female, Male",All ages
Erica Marie Hall,UNLICENSED,6,Relative In-Home,0,Not Rated,5,TOOMSUBA,39364,38,LAUDERDALE,601-662-8173,9AM-5PM,"Female, Male",All ages
Erica McIntosh,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,COLUMBUS,39701,44,LOWNDES,601-663-6291,9AM-5PM,"Female, Male",All ages
Erica Neidig,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,JACKSON,39212,25,HINDS,601-663-9609,9AM-5PM,"Female, Male",All ages
AlphaBest @ Fannin Elementary,LICENSED,2,Slot Contractor,0,Not Rated,10,GREENVILLE,38703,76,WASHINGTON,601-664-3002,9AM-5PM,"Female, Male",All ages
AlphaBest @ Henderson Elementary,LICENSED,2,Slot Contractor,1,Low,88,NEW ALBANY,38652,73,UNION,601-664-8593,9AM-5PM,"Female, Male",All ages
AlphaBest @ Houston Elementary,LICENSED,2,Slot Contractor,0,Not Rated,45,MONTICELLO,39654,39,LAWRENCE,601-665-0815,9AM-5PM,"Female, Male",All ages
Erica Nunez,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,LELAND,38756,76,WASHINGTON,601-665-2791,9AM-5PM,"Female, Male",All ages
Erica Porter,UNLICENSED,6,Relative In-Home,0,Not Rated,5,CRYSTAL SPRINGS,39059,15,COPIAH,601-665-2980,9AM-5PM,"Female, Male",All ages
Erica Thompson Roberts,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LYON,38645,14,COAHOMA,601-665-3540,9AM-5PM,"Female, Male",All ages
Erika A Ortega,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,GREENVILLE,38703,76,WASHINGTON,601-665-4034,9AM-5PM,"Female, Male",All ages
Erika L  Escobar,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,COAHOMA,38617,14,COAHOMA,601-665-4235,9AM-5PM,"Female, Male",All ages
AlphaBest @ Johnson Elementary,LICENSED,2,Slot Contractor,0,Not Rated,99,CRAWFORD,39743,44,LOWNDES,601-665-4235,9AM-5PM,"Female, Male",All ages
Erika Paola Ramirez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LELAND,38756,76,WASHINGTON,601-665-4807,9AM-5PM,"Female, Male",All ages
Erin  Simpson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-665-4964,9AM-5PM,"Female, Male",All ages
AlphaBest @ Lake Dallas Elementary,LICENSED,2,Slot Contractor,2,Average,42,WAYNESBORO,39367,77,WAYNE,601-665-6231,9AM-5PM,"Female, Male",All ages
Erin Griffith,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LYON,38645,14,COAHOMA,601-665-6648,9AM-5PM,"Female, Male",All ages
Erin Harris,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,OCEAN SPRINGS,39564,30,JACKSON,601-667-1261,9AM-5PM,"Female, Male",All ages
Erlinda Perez,UNLICENSED,6,Relative In-Home,0,Not Rated,5,COLUMBUS,39702,44,LOWNDES,601-667-3187,9AM-5PM,"Female, Male",All ages
AlphaBest @ Milam Elementary,LICENSED,2,Slot Contractor,0,Not Rated,77,WINONA,38967,49,MONTGOMERY,601-667-3254,9AM-5PM,"Female, Male",All ages
Ertha  Jackson,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,YAZOO CITY,39194,82,YAZOO,601-667-3404,9AM-5PM,"Female, Male",All ages
Erum Naqvi,UNLICENSED,8,Relative Out-of-Home,0,Not Rated,5,LELAND,38756,76,WASHINGTON,601-667-4400,9AM-5PM,"Female, Male",All ages
Esmeralda C Gonzales,UNLICENSED,5,Non-Relative In-Home,0,Not Rated,5,DURANT,39063,26,HOLMES,601-667-9090,9AM-5PM,"Female, Male",All ages
Esmeralda Fuentes,UNLICENSED,6,Relative In-Home,0,Not Rated,5,LYON,38645,14,COAHOMA,601-669-1087,9AM-5PM,"Female, Male",All ages
Esmeralda Lopez Vallejo,UNLICENSED,7,Non-Relative Out-of-Home,0,Not Rated,5,LYON,38645,14,COAHOMA,601-669-4217,9AM-5PM,"Female, Male",All ages
